date,product,category,region,quantity,price,revenue
2024-01-01,Laptop,Electronics,East,5,50000,250000
2024-01-02,Phone,Electronics,West,10,30000,300000
2024-01-03,Tablet,Electronics,North,8,25000,200000
2024-01-04,Monitor,Electronics,South,12,15000,180000
2024-01-05,Keyboard,Accessories,East,20,2000,40000
2024-01-06,Mouse,Accessories,West,25,1000,25000
2024-01-07,Headphones,Accessories,North,15,3000,45000
2024-01-08,Webcam,Electronics,South,10,5000,50000
2024-01-09,Speaker,Electronics,East,8,8000,64000
2024-01-10,Charger,Accessories,West,30,500,15000
2024-02-01,Laptop,Electronics,East,7,50000,350000
2024-02-02,Phone,Electronics,West,12,30000,360000
2024-02-03,Tablet,Electronics,North,10,25000,250000
2024-02-04,Monitor,Electronics,South,15,15000,225000
2024-02-05,Keyboard,Accessories,East,25,2000,50000
2024-02-06,Mouse,Accessories,West,30,1000,30000
2024-02-07,Headphones,Accessories,North,18,3000,54000
2024-02-08,Webcam,Electronics,South,12,5000,60000
2024-02-09,Speaker,Electronics,East,10,8000,80000
2024-02-10,Charger,Accessories,West,35,500,17500
2024-03-01,Laptop,Electronics,East,9,50000,450000
2024-03-02,Phone,Electronics,West,15,30000,450000
2024-03-03,Tablet,Electronics,North,12,25000,300000
2024-03-04,Monitor,Electronics,South,18,15000,270000
2024-03-05,Keyboard,Accessories,East,30,2000,60000
2024-03-06,Mouse,Accessories,West,35,1000,35000
2024-03-07,Headphones,Accessories,North,20,3000,60000
2024-03-08,Webcam,Electronics,South,15,5000,75000
2024-03-09,Speaker,Electronics,East,12,8000,96000
2024-03-10,Charger,Accessories,West,40,500,20000
